pair,symbol,ts,column,live_value,reference_value,abs_diff,rel_diff_bps
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T19:00:00+00:00,low,0.2504799962043762,0.2506600022315979,0.0001800060272216797,7.181282439124958
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-04T01:00:00+00:00,close,0.2520599961280823,0.24849000573158264,0.003569990396499634,143.66736344140597
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T14:00:00+00:00,close,0.2802700102329254,0.28148001432418823,0.0012100040912628174,42.9872115136822
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T12:00:00+00:00,close,0.2692300081253052,0.26809000968933105,0.001139998435974121,42.522973433257654
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T05:00:00+00:00,close,0.27842000126838684,0.2772899866104126,0.0011300146579742432,40.75209032203147
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T22:00:00+00:00,close,0.2805500030517578,0.28158000111579895,0.0010299980640411377,36.57923360890797
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T21:00:00+00:00,close,0.28033000230789185,0.28130000829696655,0.000970005989074707,34.482970510639944
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T20:00:00+00:00,close,0.2804499864578247,0.28141000866889954,0.0009600222110748291,34.11471452688696
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T22:00:00+00:00,close,0.25110000371932983,0.2501400113105774,0.0009599924087524414,38.37820282019981
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T17:00:00+00:00,close,0.2815200090408325,0.2805899977684021,0.0009300112724304199,33.14484763630269
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-05T18:00:00+00:00,close,0.25793999433517456,0.258789986371994,0.000849992036819458,32.84485805403803
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T19:00:00+00:00,close,0.28108999133110046,0.2803399860858917,0.0007500052452087402,26.753416652412565
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T20:00:00+00:00,close,0.2502399981021881,0.25095000863075256,0.0007100105285644531,28.292907118770476
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T00:00:00+00:00,close,0.24959999322891235,0.25029000639915466,0.0006900131702423096,27.568546589986425
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T09:00:00+00:00,close,0.26715001463890076,0.2676999866962433,0.0005499720573425293,20.544343842892214
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T08:00:00+00:00,close,0.26789000630378723,0.2684299945831299,0.0005399882793426514,20.11654026150281
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T13:00:00+00:00,close,0.2804900109767914,0.2799600064754486,0.0005300045013427734,18.931436243885525
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T19:00:00+00:00,close,0.25110000371932983,0.2506600022315979,0.0004400014877319336,17.553717538284914
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T12:00:00+00:00,close,0.2500799894332886,0.25036001205444336,0.00028002262115478516,11.184798197480967
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T11:00:00+00:00,close,0.2680400013923645,0.2677600085735321,0.00027999281883239746,10.456857255272531
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-01T18:00:00+00:00,close,0.24985000491142273,0.25012001395225525,0.00027000904083251953,10.795179344746913
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T23:00:00+00:00,close,0.2803800106048584,0.28011998534202576,0.0002600252628326416,9.28263874193594
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T16:00:00+00:00,close,0.2815900146961212,0.28178998827934265,0.00019997358322143555,7.096546773805134
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T12:00:00+00:00,close,0.27865999937057495,0.2786000072956085,5.9992074966430664e-05,2.1533407536050806
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T10:00:00+00:00,close,0.26739999651908875,0.2673400044441223,5.9992074966430664e-05,2.2440365814750267
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T11:00:00+00:00,close,0.2792699933052063,0.2793099880218506,3.999471664428711e-05,1.4319114374512916
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-13T18:00:00+00:00,close,0.26471999287605286,0.26475000381469727,3.001093864440918e-05,1.1335576284038247
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T06:00:00+00:00,close,0.27834999561309814,0.2783699929714203,1.9997358322143555e-05,0.7183733458008401
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T19:00:00+00:00,volume,1558753.0,9194.0,1549559.0,1685402.4363715467
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T14:00:00+00:00,volume,1222313.0,591.0,1221722.0,20672115.05922166
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T16:00:00+00:00,volume,1183476.0,14168.0,1169308.0,825316.2055335968
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-04T01:00:00+00:00,volume,635377.0,230.0,635147.0,27615086.95652174
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T17:00:00+00:00,volume,556536.0,0.0,556536.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T20:00:00+00:00,volume,543855.0,0.0,543855.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T23:00:00+00:00,volume,493785.0,5994.0,487791.0,813798.7987987988
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T12:00:00+00:00,volume,455180.0,0.0,455180.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T08:00:00+00:00,volume,329307.0,4167.0,325140.0,780273.5781137509
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-01T18:00:00+00:00,volume,316615.0,799.0,315816.0,3952640.8010012517
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T22:00:00+00:00,volume,294542.0,0.0,294542.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T22:00:00+00:00,volume,293847.0,1000.0,292847.0,2928470.0
