feature_name,group,source_name,source_family,model_split_count,extracted_rule_count,final_registry_count,used_in_model,used_in_extracted_rules,used_in_final_registry
loc_loc_vwap_dev_z_24_ts_bot60,location,loc_vwap_dev_z_24,liquidity,0,0,0,False,False,False
reg_rolling_std_4h_ts_top70,regime,rolling_std_4h,volatility,0,0,0,False,False,False
loc_loc_vwap_dev_z_24_ts_top70,location,loc_vwap_dev_z_24,liquidity,0,0,0,False,False,False
reg_rolling_std_4h_ts_bot70,regime,rolling_std_4h,volatility,6,36,0,True,True,False
loc_loc_vwap_dev_z_24_ts_bot70,location,loc_vwap_dev_z_24,liquidity,0,0,0,False,False,False
reg_rolling_std_4h_ts_top80,regime,rolling_std_4h,volatility,0,0,0,False,False,False
loc_loc_vwap_dev_z_24_ts_top80,location,loc_vwap_dev_z_24,liquidity,0,0,0,False,False,False
reg_rolling_std_4h_ts_bot80,regime,rolling_std_4h,volatility,5,15,0,True,True,False
loc_loc_vwap_dev_z_24_ts_bot80,location,loc_vwap_dev_z_24,liquidity,0,0,0,False,False,False
reg_rolling_std_4h_ts_band20_80,regime,rolling_std_4h,volatility,2,6,0,True,True,False
loc_loc_vwap_dev_z_24_ts_band20_80,location,loc_vwap_dev_z_24,liquidity,1,2,0,True,True,False
