canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_prior_day_low>0.0082500661&dist_rolling_7d_high<=0.22538765&loc_pullback_depth_48<=0.13224457)|(direction_entropy_20<=0.42348054&up_down_return_mass_ratio_tanh>0.37440974),5,5,location|regime,path_structure,context|path_structure,context|path_structure
(*)|(dist_rolling_7d_high>0.22538765)|(rolling_range_20>-0.31886801),2,2,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high<=0.24724466)|(prior_volatility>-0.71121848&range_24h_pct<=0.038691193),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_rolling_7d_high<=0.24724466&zscore_price_200<=0.79316133)|(range_24h_pct>0.046013843&rv_24h>0.31009012&volume_zscore_48h<=0.25674865),5,5,location|regime,compression|liquidity|volatility,context,compression|context|liquidity|volatility
(*)|(dist_rolling_7d_high<=0.24724466&zscore_price_200>0.79316133)|(range_24h_pct>0.046013843&rv_24h>0.33434507),4,4,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_rolling_7d_high>0.24724466)|(prior_range<=-0.17817512),2,2,location|regime,context,context,context
(*)|(dist_rolling_7d_high>0.24724466)|(prior_range>-0.17817512),2,2,location|regime,context,context,context
(*)|(dist_vwap_atr<=0.0063795461&loc_prior_bar_pos_48>-0.36666834)|(prior_range<=0.091656394&spectral_entropy_ret_24<=0.27183038),4,4,location|regime,context|path_structure,context,context|path_structure
(*)|(dist_vwap_atr<=0.0063795461&loc_prior_bar_pos_48>-0.36666834)|(prior_range<=0.091656394&spectral_entropy_ret_24>0.27183038),4,4,location|regime,context|path_structure,context,context|path_structure
(*)|(dist_vwap_atr>0.019875646)|(prior_range<=0.091656394),2,2,location|regime,context,context,context
(*)|(dist_prior_day_high<=0.094852977)|(prior_range>0.091656394&up_down_semivol_ratio_tanh<=-0.22720155),3,3,location|regime,context|path_structure,context,context|path_structure
(*)|(dist_prior_day_high>0.094852977)|(prior_range>0.091656394),2,2,location|regime,context,context,context
(*)|(dist_prior_day_low<=0.063708842&dist_weekly_vwap<=0.023580724&dist_weekly_vwap>-0.025582885)|(prior_range<=-0.065778643&trend_acceleration>-0.62287003&volatility_ratio_short_long>-1.2040343),6,6,location|regime,context|trend|volatility,context,context|trend|volatility
(*)|(dist_prior_day_high>0.080046125&dist_prior_day_low<=0.063708842)|(prior_range>-0.065778643),3,3,location|regime,context,context,context
(*)|(dist_prior_day_low>0.063708842)|(ema50_slope<=0.55807811),2,2,location|regime,trend,context,context|trend
(*)|(dist_prior_day_low>0.063708842)|(ema50_slope<=1.3388108&ema50_slope>0.55807811),3,3,location|regime,trend,context,context|trend
(*)|(dist_prior_day_low>0.063708842)|(ema50_slope>1.3388108),2,2,location|regime,trend,context,context|trend
(*)|(dist_prior_day_low<=0.069102325&dist_weekly_vwap<=0.0065827728&loc_pullback_depth_24<=0.33955196&loc_pullback_depth_24>0.24881095)|(prior_range<=0.16141506),5,5,location|regime,context,context|path_structure,context|path_structure
(*)|(dist_prior_day_low<=0.069102325&dist_weekly_vwap<=0.0065827728&loc_pullback_depth_24>0.33955196)|(prior_range<=0.16141506),4,4,location|regime,context,context|path_structure,context|path_structure
(*)|(dist_prior_day_low<=0.069102325&dist_weekly_vwap>0.0065827728)|(amihud_illiq<=-0.00000000000000000000000000000000001&prior_range<=0.16141506),4,4,location|regime,context|liquidity,context,context|liquidity
(*)|(dist_prior_day_low>0.069102325)|(prior_range<=0.16141506),2,2,location|regime,context,context,context
(*)|(dist_weekly_vwap<=-0.039739937)|(prior_range>0.16141506),2,2,location|regime,context,context,context
(*)|(dist_weekly_vwap>-0.039739937)|(ema_slope_norm<=-0.056334637&prior_range>0.16141506),3,3,location|regime,context|trend,context,context|trend
(*)|(dist_prior_day_high<=0.020858984)|(range_24h_pct<=0.044025093&rolling_range_20>-0.701828),3,3,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high<=0.19227472&loc_prev_week_range_pos_48>0.5242784)|(ema50_slope<=0.51246417&range_24h_pct>0.049604192&up_down_semivol_ratio_tanh<=0.43571049),5,5,location|regime,compression|path_structure|trend,context,compression|context|path_structure|trend
(*)|(dist_rolling_7d_high<=0.19227472&loc_prev_week_range_pos_48>0.5242784)|(ema50_slope>0.51246417&range_24h_pct>0.049604192&up_down_semivol_ratio_tanh<=0.43571049),5,5,location|regime,compression|path_structure|trend,context,compression|context|path_structure|trend
(*)|(dist_rolling_7d_high<=0.19227472)|(ema20_slope_5h<=0.84307414&range_24h_pct>0.049604192&up_down_semivol_ratio_tanh>0.43571049),4,4,location|regime,compression|path_structure|trend,context,compression|context|path_structure|trend
(*)|(dist_rolling_7d_high>0.19227472&loc_ema_stack_pos_48<=-0.54433185)|(range_24h_pct>0.049604192),3,3,location|regime,compression,context|trend,compression|context|trend
(*)|(dist_rolling_7d_high>0.19227472&loc_ema_stack_pos_48>-0.54433185)|(range_24h_pct>0.049604192),3,3,location|regime,compression,context|trend,compression|context|trend
(*)|(dist_rolling_7d_high<=0.24724466&dist_weekly_vwap<=-0.046359222)|(trend_acceleration>0.010661951),3,3,location|regime,trend,context,context|trend
(*)|(dist_rolling_7d_high>0.24724466&dist_weekly_vwap<=-0.046359222)|(compression_score<=-0.22117238),3,3,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_rolling_7d_high>0.24724466&dist_weekly_vwap<=-0.046359222)|(compression_score>-0.22117238),3,3,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_weekly_vwap<=0.049562942&dist_weekly_vwap>-0.046359222)|(range_24h_pct<=0.028510153),3,3,location|regime,compression,context,compression|context
(*)|(dist_ema200_atr<=-0.021344611&dist_weekly_vwap<=0.049562942&dist_weekly_vwap>-0.046359222&zscore_price_200<=-1.0758446)|(range_24h_pct>0.028510153),5,5,location|regime,compression,context,compression|context
(*)|(dist_weekly_vwap>0.049562942)|(volume_trend_48>-0.73832756),2,2,location|regime,liquidity,context,context|liquidity
(*)|(*)|(range_24h_pct<=0.032337427&realized_volatility_24h>-0.59630144),2,2,regime,compression|volatility,,compression|volatility
(*)|(*)|(prior_range<=0.31689391&range_24h_pct>0.032337427&realized_volatility_24h<=-0.54765606&true_range_percentile<=-0.6301831&up_down_return_mass_ratio_tanh<=1.1040477),5,5,regime,compression|context|path_structure|volatility,,compression|context|path_structure|volatility
(*)|(loc_prior_bar_pos_24<=-0.19008882)|(prior_range<=0.31689391&range_24h_pct>0.032337427&realized_volatility_24h>-0.54765606&up_down_return_mass_ratio_tanh<=1.1040477&volume_percentile<=0.012436069),6,6,location|regime,compression|context|liquidity|path_structure|volatility,context,compression|context|liquidity|path_structure|volatility
(*)|(*)|(prior_range<=0.31689391&range_24h_pct>0.032337427&up_down_return_mass_ratio_tanh>1.1040477),3,3,regime,compression|context|path_structure,,compression|context|path_structure
(*)|(zscore_price_200<=-0.98447847)|(ema50_slope<=0.058531072&prior_range>0.31689391&range_24h_pct>0.032337427),4,4,location|regime,compression|context|trend,context,compression|context|trend
(*)|(zscore_price_200>-0.98447847)|(ema50_slope<=0.058531072&prior_range>0.31689391&range_24h_pct>0.032337427),4,4,location|regime,compression|context|trend,context,compression|context|trend
(*)|(dist_prior_day_low<=0.015384567)|(range_24h_pct<=0.058061957&range_expansion_ratio>-0.66037488),3,3,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(dist_prior_day_low>0.041744299)|(range_24h_pct<=0.058061957&range_expansion_ratio>-0.66037488),3,3,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(dist_ema50_atr<=-0.0012831641)|(amihud_illiq<=0.4240784&prior_range>-0.34010521&range_24h_pct>0.058061957),4,4,location|regime,compression|context|liquidity,context,compression|context|liquidity
(*)|(dist_ema50_atr<=-0.0012831641)|(amihud_illiq>0.4240784&prior_range>-0.34010521&range_24h_pct>0.058061957),4,4,location|regime,compression|context|liquidity,context,compression|context|liquidity
(*)|(dist_ema50_atr>-0.0012831641)|(prior_range>-0.34010521&range_24h_pct>0.058061957&variance_ratio_10_48>-0.27864259),4,4,location|regime,compression|context|volatility,context,compression|context|volatility
(*)|(loc_swing_range_pos_48>0.73077029)|(range_24h_pct<=0.037943244),2,2,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high<=0.07837911)|(range_24h_pct>0.063579261),2,2,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high<=0.22307369&dist_rolling_7d_high>0.07837911)|(range_24h_pct>0.063579261&volume_entropy_24>0.32873562),4,4,location|regime,compression|liquidity,context,compression|context|liquidity
(*)|(dist_rolling_7d_high>0.22307369&loc_prior_bar_pos_24<=-0.088235378)|(range_24h_pct>0.063579261),3,3,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high>0.22307369&loc_prior_bar_pos_24>-0.088235378)|(range_24h_pct>0.063579261),3,3,location|regime,compression,context,compression|context
(*)|(*)|(atr_percentile<=0.59495425&prior_volatility<=0.017840056&range_24h_pct>0.037179291&volume_zscore_48h<=-0.23248677),4,4,regime,compression|context|liquidity,,compression|context|liquidity
(*)|(dist_weekly_vwap<=-0.039739937)|(ema_slope_norm<=-0.8304894&prior_volatility>0.017840056),3,3,location|regime,context|trend,context,context|trend
(*)|(dist_weekly_vwap<=-0.039739937)|(ema_slope_norm>-0.8304894&prior_volatility>0.017840056),3,3,location|regime,context|trend,context,context|trend
(*)|(dist_weekly_vwap<=-0.0011696318&dist_weekly_vwap>-0.039739937)|(prior_volatility>0.017840056),3,3,location|regime,context,context,context
(*)|(dist_weekly_vwap>-0.0011696318)|(prior_volatility>0.017840056&range_24h_pct>0.077750877),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_prior_day_high<=0.048168391&dist_weekly_vwap<=0.0080289813)|(ema20_slope_5h>-0.29614258&prior_volatility<=0.021595811&volume_trend_48<=0.757146),5,5,location|regime,context|liquidity|trend,context,context|liquidity|trend
(*)|(distance_to_ema<=-0.13305099)|(bollinger_band_width<=-0.017880378&prior_volatility>0.021595811),3,3,location|regime,compression|context,context,compression|context
(*)|(distance_to_ema>-0.13305099)|(bollinger_band_width<=-0.017880378&prior_volatility>0.021595811),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_ema200_atr<=-0.0036118401)|(bollinger_band_width>-0.017880378&prior_range>0.00000000000000000000000000000000001&prior_volatility>0.021595811&up_down_semivol_ratio_tanh<=0.34499395),5,5,location|regime,compression|context|path_structure,context,compression|context|path_structure
