within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.17791489436107558,1.0,0.010357279442758308,0.004971206100540628,0.04698320514442328,4,0.9177041202506199,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.008490161&symbol_minus_mkt_ret_1h<=-0.10011404)
0.1455438937260651,1.0,0.008341770718245014,0.006012899044056129,-0.012491640955109656,4,0.8489044490957663,within_leaf_future_edge,(*)|(*)|(dist_ema_fast_mkt_resid>-0.0017571336&exh_qual_surprise>-0.034061894&mark_vs_perp_bps>-1.4429836&prior_volatility<=-0.052592997&xasset_ob_liquidity_peer_resid>-1.0931853)
0.11569637076196573,1.0,0.006108776100658715,0.0038805594583577246,-0.01974199169621202,4,0.8408020670468092,within_leaf_future_edge,(*)|(*)|(asset_atr_level_pct<=0.4798471&mark_vs_perp_bps>-1.4371357&up_down_semivol_ratio_tanh>0.33028933)
0.07190397703972416,1.0,0.0050833106982927255,0.0020267406783658955,0.003994572006338903,4,0.8063417652909096,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps>0.33365664&price_x_oi_7d>0.52880323)
0.12522969667761064,1.0,0.007647786261985477,0.0048029296971025745,0.010997357622899162,4,0.8630020459710109,within_leaf_future_edge,(*)|(loc_session_pos_24<=0.19532457)|(mark_vs_perp_bps>-0.39729577&range_24h_pct<=0.052030459)
0.15558597749551162,1.0,0.007894328364229423,0.005366655697586175,-0.007902791600408202,4,0.8479544364692234,within_leaf_future_edge,(*)|(*)|(compression_score<=-0.3510237&mark_perp_dislocation>-0.00045026309&range_24h_pct<=0.059379023)
0.17954494539781077,1.0,0.010934072232218844,0.006568645550722363,-0.0016857796352168358,4,0.8494303882988896,within_leaf_future_edge,(*)|(*)|(asset_atr_level_pct<=0.74391943&asset_minus_universe_median_ret_4h<=-0.63052082&mark_vs_perp_bps>-0.57225317)
0.17957394086692607,1.0,0.012212884087208033,0.006384743725101347,0.04499851735772316,4,0.9168215893050152,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.016219603)
0.1703876135242237,1.0,0.01095200891673676,0.005535602591253009,0.025639202481832574,4,0.8868787070088126,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.014631744)
0.17049810016415692,1.0,0.01105594525350187,0.005941424691858585,0.047822956636837444,4,0.9206779815001641,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.018219855)
0.1766583303917844,1.0,0.01157893067539804,0.005920263466473364,0.04967793507051235,4,0.9234412997787388,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.017080424)
0.1104665857111813,1.0,0.006769214277045615,0.004401609149037852,-0.016408125585718705,4,0.8445826923500771,within_leaf_future_edge,(*)|(*)|(asset_atr_level_pct<=0.49652538&mark_vs_perp_bps>0.86808103&up_down_semivol_ratio_tanh>0.26846692)
0.16809228656120523,1.0,0.011126490692003884,0.005589770826095509,0.05472886297961689,4,0.9305971443349514,within_leaf_future_edge,(*)|(*)|(funding_1d_chg_ts_resid<=0.82144034&mark_perp_dislocation>0.013381661)
0.1668393964150102,1.0,0.01047561893258308,0.005183278811213254,0.00496057929109843,4,0.8551954446720285,within_leaf_future_edge,(*)|(loc_prev_week_range_pos_24>0.27033266)|(mark_perp_dislocation>0.012281248)
