fold_id,seed,feature_name,group,regime_family,source_family,gain,split
1,42,dist_prior_day_high,location,,context,131.3402,16.0
1,42,amihud_z,regime,liquidity,liquidity,46.905552,7.0
1,42,dist_prior_day_low,location,,context,101.06228,19.0
1,42,atr_compression_ratio,regime,volatility_term_structure,volatility_term_structure,173.10359,23.0
1,42,dist_rolling_7d_high,location,,context,227.1964,21.0
1,42,atr_percentile,regime,compression,compression,255.72433,39.0
1,42,dist_local_swing,location,,context,13.92055,3.0
1,42,dist_range_mid_atr,location,,context,70.21471,10.0
1,42,dist_ma100_atr,location,,context,82.0558,12.0
1,42,distance_to_ema,location,,context,17.315052,9.0
1,42,pullback_depth,location,,context,46.250248,9.0
1,42,basis_pct,regime,basis,basis,50.254986,23.0
1,42,zscore_price_50,location,,context,87.76909,11.0
1,42,zscore_price_200,location,,context,217.9583,24.0
1,42,basis_stretch,regime,basis,basis,8.58893,3.0
1,42,loc_ema_stack_pos_24,location,,trend,34.20525,5.0
1,42,basis_vol,regime,basis,basis,16.448023,8.0
1,42,loc_ema_stack_pos_48,location,,trend,21.01615,4.0
1,42,bollinger_band_width,regime,compression,compression,25.85522,5.0
1,42,loc_vwap_dev_z_24,location,,liquidity,91.13859,12.0
1,42,choppiness_index_20,regime,path_structure,path_structure,63.330162,11.0
1,42,loc_vwap_dev_z_48,location,,liquidity,35.13014,8.0
1,42,loc_range_pos_24,location,,context,16.06935,2.0
1,42,compression_ratio,regime,volatility_term_structure,volatility_term_structure,218.82414,20.0
1,42,loc_range_pos_48,location,,context,19.079536,6.0
1,42,compression_score,regime,volatility_term_structure,volatility_term_structure,134.72256,17.0
1,42,loc_prior_bar_pos_24,location,,context,3.0077,1.0
1,42,cs_rank_ret_24h,regime,cross_sectional,cross_sectional,35.93997,11.0
1,42,loc_prior_bar_pos_48,location,,context,10.429924,6.0
1,42,direction_entropy_20,regime,path_structure,path_structure,149.6269,24.0
1,42,loc_swing_range_pos_24,location,,context,53.48901,10.0
1,42,dist_ema_fast,regime,trend,trend,43.279522,7.0
1,42,loc_swing_range_pos_48,location,,context,124.235855,19.0
1,42,efficiency_ratio_20,regime,path_structure,path_structure,84.15794,14.0
1,42,loc_session_pos_24,location,,context,17.493067,5.0
1,42,ema20_slope_5h,regime,trend,trend,62.81392,12.0
1,42,loc_session_pos_48,location,,context,2.823742,2.0
1,42,ema50_slope,regime,trend,trend,182.80122,15.0
1,42,loc_initial_balance_pos_24,location,,context,44.80556,5.0
1,42,ema_slope_norm,regime,trend,trend,19.154764,6.0
1,42,loc_initial_balance_pos_48,location,,context,9.547815,3.0
1,42,mark_index_basis,regime,mark_index,mark_index,134.76239,14.0
