generated_boolean,group,source_feature,support,support_pct,usable_support,nan_rate_before,nan_rate_ts
loc_zscore_price_200_ts_band20_80,location,zscore_price_200,272376,0.6,181584,0.0,0.0
loc_zscore_price_200_ts_band25_75,location,zscore_price_200,226980,0.5,226980,0.0,0.0
loc_zscore_price_200_ts_band30_70,location,zscore_price_200,181584,0.4,181584,0.0,0.0
loc_zscore_price_200_ts_band40_60,location,zscore_price_200,90792,0.2,90792,0.0,0.0
loc_loc_ema_stack_pos_24_ts_top20,location,loc_ema_stack_pos_24,363168,0.8,90792,0.0,0.0
loc_loc_ema_stack_pos_24_ts_bot20,location,loc_ema_stack_pos_24,90792,0.2,90792,0.0,0.0
loc_loc_ema_stack_pos_24_ts_top30,location,loc_ema_stack_pos_24,317772,0.7,136188,0.0,0.0
loc_loc_ema_stack_pos_24_ts_bot30,location,loc_ema_stack_pos_24,136188,0.3,136188,0.0,0.0
loc_loc_ema_stack_pos_24_ts_top40,location,loc_ema_stack_pos_24,272376,0.6,181584,0.0,0.0
loc_loc_ema_stack_pos_24_ts_bot40,location,loc_ema_stack_pos_24,181584,0.4,181584,0.0,0.0
loc_loc_ema_stack_pos_24_ts_top50,location,loc_ema_stack_pos_24,226980,0.5,226980,0.0,0.0
