config_id,bucket,reason
CFG3836150E4C,optuna_stage1,bind_prod_agg 0.373 < bind_min 0.500
CFG3836150E4C,optuna_stage1,tp_hit_prod_agg 0.065 < tp_hit_min_agg 0.100
CFG3836150E4C,optuna_stage1,timeout_prod_agg 0.627 > timeout_max 0.600
CFG3836150E4C,optuna_stage1,sl_to_tp_prod_agg 4.75x > sl_to_tp_max 2.50x
CFG3836150E4C,optuna_stage1,max_cell_sl_to_tp_prod 6.16x > sl_to_tp_max 2.50x
CFG3836150E4C,optuna_stage1,min_cell_auc 0.4758 < auc_min 0.5400
CFG3836150E4C,optuna_stage1,min_cell_auc_bound 0.4301 < auc_bound_min 0.5200
CFG3836150E4C,optuna_stage1,min_cell_tp_sep 0.0002 < tp_sep_min 0.0400
CFG3836150E4C,optuna_stage1,min_cell_ap_lift 0.977 < ap_lift_min 1.200
CFGBA6FE5FEF7,optuna_stage1,min_cell_bind_prod 0.260 < bind_cell_min 0.380
CFGBA6FE5FEF7,optuna_stage1,bind_prod_agg 0.314 < bind_min 0.500
CFGBA6FE5FEF7,optuna_stage1,tp_hit_prod_agg 0.040 < tp_hit_min_agg 0.100
CFGBA6FE5FEF7,optuna_stage1,timeout_prod_agg 0.686 > timeout_max 0.600
CFGBA6FE5FEF7,optuna_stage1,sl_to_tp_prod_agg 6.77x > sl_to_tp_max 2.50x
CFGBA6FE5FEF7,optuna_stage1,max_cell_sl_to_tp_prod 14.23x > sl_to_tp_max 2.50x
CFGBA6FE5FEF7,optuna_stage1,min_cell_auc 0.5059 < auc_min 0.5400
CFGBA6FE5FEF7,optuna_stage1,min_cell_auc_bound 0.4647 < auc_bound_min 0.5200
CFGBA6FE5FEF7,optuna_stage1,min_cell_tp_sep 0.0059 < tp_sep_min 0.0400
CFGBA6FE5FEF7,optuna_stage1,min_cell_ap_lift 1.087 < ap_lift_min 1.200
CFG4AD861F7FD,optuna_stage1,min_cell_bind_prod 0.273 < bind_cell_min 0.380
CFG4AD861F7FD,optuna_stage1,bind_prod_agg 0.315 < bind_min 0.500
CFG4AD861F7FD,optuna_stage1,tp_hit_prod_agg 0.045 < tp_hit_min_agg 0.100
CFG4AD861F7FD,optuna_stage1,timeout_prod_agg 0.685 > timeout_max 0.600
CFG4AD861F7FD,optuna_stage1,sl_to_tp_prod_agg 5.97x > sl_to_tp_max 2.50x
CFG4AD861F7FD,optuna_stage1,max_cell_sl_to_tp_prod 10.39x > sl_to_tp_max 2.50x
CFG4AD861F7FD,optuna_stage1,min_cell_auc 0.4978 < auc_min 0.5400
CFG4AD861F7FD,optuna_stage1,min_cell_auc_bound 0.4553 < auc_bound_min 0.5200
CFG4AD861F7FD,optuna_stage1,min_cell_tp_sep 0.0061 < tp_sep_min 0.0400
CFG4AD861F7FD,optuna_stage1,min_cell_ap_lift 1.060 < ap_lift_min 1.200
CFGE5B3DA1E47,optuna_stage1,min_cell_bind_prod 0.268 < bind_cell_min 0.380
CFGE5B3DA1E47,optuna_stage1,bind_prod_agg 0.312 < bind_min 0.500
CFGE5B3DA1E47,optuna_stage1,tp_hit_prod_agg 0.045 < tp_hit_min_agg 0.100
CFGE5B3DA1E47,optuna_stage1,timeout_prod_agg 0.688 > timeout_max 0.600
CFGE5B3DA1E47,optuna_stage1,sl_to_tp_prod_agg 5.94x > sl_to_tp_max 2.50x
CFGE5B3DA1E47,optuna_stage1,max_cell_sl_to_tp_prod 10.33x > sl_to_tp_max 2.50x
CFGE5B3DA1E47,optuna_stage1,min_cell_auc 0.4979 < auc_min 0.5400
CFGE5B3DA1E47,optuna_stage1,min_cell_auc_bound 0.4558 < auc_bound_min 0.5200
CFGE5B3DA1E47,optuna_stage1,min_cell_tp_sep 0.0060 < tp_sep_min 0.0400
CFGE5B3DA1E47,optuna_stage1,min_cell_ap_lift 1.061 < ap_lift_min 1.200
CFG66DA4C63BF,optuna_stage1,min_cell_bind_prod 0.200 < bind_cell_min 0.380
CFG66DA4C63BF,optuna_stage1,timeout_range_prod 0.600 > timeout_range_max 0.500
CFG66DA4C63BF,optuna_stage1,sl_to_tp_prod_agg 3.06x > sl_to_tp_max 2.50x
CFG66DA4C63BF,optuna_stage1,max_cell_sl_to_tp_prod 3.35x > sl_to_tp_max 2.50x
CFG66DA4C63BF,optuna_stage1,min_cell_auc 0.4828 < auc_min 0.5400
CFG66DA4C63BF,optuna_stage1,min_cell_auc_bound 0.4828 < auc_bound_min 0.5200
CFG66DA4C63BF,optuna_stage1,min_cell_tp_sep -0.0027 < tp_sep_min 0.0400
CFG66DA4C63BF,optuna_stage1,min_cell_ap_lift 0.989 < ap_lift_min 1.200
CFG66DA4C63BF,optuna_stage1,tp_floor_bind_prod_agg 48.1% > tp_floor_bind_max_agg 20.0%
CFG66DA4C63BF,optuna_stage1,max_cell_tp_floor_bind_prod 66.9% > tp_floor_bind_max_cell 35.0%
CFG66DA4C63BF,optuna_stage1,floor-dominance combined guardrail: min_cell_auc 0.4828 < required 0.5600 when TP floor-binding is high
CFG9CAB36B40C,optuna_stage1,min_cell_bind_prod 0.210 < bind_cell_min 0.380
CFG9CAB36B40C,optuna_stage1,timeout_range_prod 0.526 > timeout_range_max 0.500
CFG9CAB36B40C,optuna_stage1,sl_to_tp_prod_agg 2.94x > sl_to_tp_max 2.50x
CFG9CAB36B40C,optuna_stage1,max_cell_sl_to_tp_prod 3.34x > sl_to_tp_max 2.50x
CFG9CAB36B40C,optuna_stage1,min_cell_auc 0.4791 < auc_min 0.5400
CFG9CAB36B40C,optuna_stage1,min_cell_auc_bound 0.4351 < auc_bound_min 0.5200
CFG9CAB36B40C,optuna_stage1,min_cell_tp_sep 0.0022 < tp_sep_min 0.0400
CFG9CAB36B40C,optuna_stage1,min_cell_ap_lift 1.014 < ap_lift_min 1.200
CFG9CAB36B40C,optuna_stage1,tp_floor_bind_prod_agg 60.3% > tp_floor_bind_max_agg 20.0%
CFG9CAB36B40C,optuna_stage1,max_cell_tp_floor_bind_prod 69.2% > tp_floor_bind_max_cell 35.0%
CFG9CAB36B40C,optuna_stage1,floor-dominance combined guardrail: min_cell_auc 0.4791 < required 0.5600 when TP floor-binding is high
