cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_timeout,cell_bind,cell_ap_lift,cell_tp_over_sl,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_n
MR_short_H8,MR_short,CFG93489E34E5,3,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6134,0.534,0.12419,0.2723085780080598,0.7277,1.2793,1.697,0.28778,0.29202,0.5556,0.0692,0.03664,0.08241,-0.00162,15633
MR_short_H8,MR_short,CFG7EF13BA4CE,4,1.0,0.4,672,0.015,0.005,0.005,atr_norm,0.6014,0.5383,0.13523,0.2622636994496291,0.7377,1.2598,1.9604,0.28703,0.30817,0.6667,0.05321,0.02893,0.04957,-0.00798,16716
MR_short_H8,MR_short,CFGF4E8AE33FD,5,1.5,0.6,840,0.01,0.005,0.005,atr_norm,0.5965,0.5203,0.1233,0.293346110079655,0.7067,1.251,1.8405,0.28796,0.3099,0.5556,0.07688,0.04368,0.08318,-0.0342,16697
MR_short_H8,MR_short,CFGFCA5A7D46B,6,1.25,0.6,840,0.012,0.005,0.005,atr_norm,0.5965,0.5203,0.1233,0.293346110079655,0.7067,1.251,1.8405,0.28796,0.3099,0.5556,0.07688,0.04368,0.08318,-0.0342,16697
TF_long_H2,TF_long,CFG6F52B9041F,1,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.632,0.5449,0.0908,0.5804388153265528,0.4196,1.4476,2.2666,0.31615,0.45359,0.6667,0.04663,0.03069,0.00946,-0.04412,15633
TF_long_H2,TF_long,CFGDAFE1D7391,2,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6133,0.5378,0.08704,0.5566521910777734,0.4433,1.3863,2.2486,0.31716,0.4478,0.4444,0.05094,0.03045,0.01356,-0.03927,15198
TF_long_H2,TF_long,CFG93489E34E5,3,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6281,0.5262,0.08732,0.5955990532847182,0.4044,1.4317,2.2133,0.3184,0.4554,0.6667,0.05168,0.03208,0.0206,-0.06579,15633
TF_long_H2,TF_long,CFG99102C1741,4,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.5989,0.541,0.08455,0.5272007912957468,0.4728,1.3316,2.2334,0.31782,0.44186,0.5556,0.04641,0.02871,0.02148,-0.02116,15165
TF_long_H2,TF_long,CFG0D6C75B2B4,5,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.6073,0.5172,0.07886,0.5719831556783788,0.428,1.3566,2.1829,0.3197,0.44973,0.5556,0.04823,0.02065,0.01898,-0.06576,15198
TF_long_H2,TF_long,CFGA0C979DB84,6,1.25,0.6,336,0.01,0.005,0.005,atr_norm,0.5948,0.5218,0.07773,0.5438180019782394,0.4562,1.3076,2.1733,0.32073,0.44423,0.5556,0.04765,0.0215,0.02806,-0.04828,15165
