2025-08-11 23:47:24,603 - INFO - Stage=EngineerFeatures | NaN_total=23561 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459} | Inf_cols={}
2025-08-11 23:47:24,741 - INFO - Stage=EngineerFeatures | NaN_total=25020 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459} | Inf_cols={}
2025-08-11 23:47:24,874 - INFO - Stage=EngineerFeatures | NaN_total=26479 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459} | Inf_cols={}
2025-08-11 23:47:25,019 - INFO - Stage=EngineerFeatures | NaN_total=27938 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459, 'bearish_marubozu_count': 1459} | Inf_cols={}
2025-08-11 23:47:25,170 - INFO - Stage=EngineerFeatures | NaN_total=29397 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459, 'bearish_marubozu_count': 1459, 'bearish_marubozu_present': 1459} | Inf_cols={}
2025-08-11 23:47:25,318 - INFO - Stage=EngineerFeatures | NaN_total=30856 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459, 'bearish_marubozu_count': 1459, 'bearish_marubozu_present': 1459, 'rising_three_methods_count': 1459} | Inf_cols={}
2025-08-11 23:47:25,472 - INFO - Stage=EngineerFeatures | NaN_total=32315 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459, 'bearish_marubozu_count': 1459, 'bearish_marubozu_present': 1459, 'rising_three_methods_count': 1459, 'rising_three_methods_present': 1459} | Inf_cols={}
2025-08-11 23:47:25,635 - INFO - Stage=EngineerFeatures | NaN_total=33774 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459, 'bearish_marubozu_count': 1459, 'bearish_marubozu_present': 1459, 'rising_three_methods_count': 1459, 'rising_three_methods_present': 1459, 'falling_three_methods_count': 1459} | Inf_cols={}
2025-08-11 23:47:25,809 - INFO - Stage=EngineerFeatures | NaN_total=35233 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459, 'bearish_marubozu_count': 1459, 'bearish_marubozu_present': 1459, 'rising_three_methods_count': 1459, 'rising_three_methods_present': 1459, 'falling_three_methods_count': 1459, 'falling_three_methods_present': 1459} | Inf_cols={}
2025-08-11 23:47:25,970 - INFO - Stage=EngineerFeatures | NaN_total=36692 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459, 'hammer_present': 1459, 'hanging_man_count': 1459, 'hanging_man_present': 1459, 'shooting_star_count': 1459, 'shooting_star_present': 1459, 'inverted_hammer_count': 1459, 'inverted_hammer_present': 1459, 'tweezer_top_count': 1459, 'tweezer_top_present': 1459, 'tweezer_bottom_count': 1459, 'tweezer_bottom_present': 1459, 'bullish_marubozu_count': 1459, 'bullish_marubozu_present': 1459, 'bearish_marubozu_count': 1459, 'bearish_marubozu_present': 1459, 'rising_three_methods_count': 1459, 'rising_three_methods_present': 1459, 'falling_three_methods_count': 1459, 'falling_three_methods_present': 1459, 'doji_count': 1459} | Inf_cols={}
