canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(loc_range_pos_48<=0.69811332&zscore_price_200>-0.93021357)|(mkt_ret_eq_24h>-0.56011117&return_autocorr_48>0.30198586),4,4,location|regime,cross_asset|momentum,context,context|cross_asset|momentum
(*)|(loc_range_pos_48>0.69811332&zscore_price_200>-0.93021357)|(mkt_ret_eq_24h>-0.56011117&return_autocorr_48>0.30198586),4,4,location|regime,cross_asset|momentum,context,context|cross_asset|momentum
(*)|(loc_vwap_dev_z_24<=-0.77530235)|(basis_pct<=-0.00057635282&range_24h_pct<=0.07672897&range_24h_pct>0.034085155),4,4,location|regime,basis|compression,liquidity,basis|compression|liquidity
(*)|(loc_vwap_dev_z_24<=-0.77530235)|(basis_pct>-0.00057635282&range_24h_pct<=0.07672897&range_24h_pct>0.034085155),4,4,location|regime,basis|compression,liquidity,basis|compression|liquidity
(*)|(loc_pivot_ladder_pos_48<=0.10054221&loc_vwap_dev_z_24>-0.77530235)|(range_24h_pct<=0.07672897&range_24h_pct>0.034085155&volume_autocorr_48<=0.2452084),5,5,location|regime,compression|liquidity,context|liquidity,compression|context|liquidity
(*)|(loc_pivot_ladder_pos_48>0.10054221&loc_vwap_dev_z_24>-0.77530235)|(range_24h_pct<=0.07672897&range_24h_pct>0.034085155&volume_autocorr_48<=0.2452084),5,5,location|regime,compression|liquidity,context|liquidity,compression|context|liquidity
(*)|(dist_rolling_7d_high<=0.096896335&loc_vwap_dev_z_24>-0.77530235)|(range_24h_pct<=0.07672897&range_24h_pct>0.034085155&volume_autocorr_48>0.2452084),5,5,location|regime,compression|liquidity,context|liquidity,compression|context|liquidity
(*)|(dist_rolling_7d_high>0.096896335&loc_vwap_dev_z_24>-0.77530235)|(range_24h_pct<=0.07672897&range_24h_pct>0.034085155&volume_autocorr_48>0.2452084),5,5,location|regime,compression|liquidity,context|liquidity,compression|context|liquidity
(*)|(*)|(range_24h_pct>0.07672897&spectral_entropy_ret_24<=-0.023081115),2,2,regime,compression|path_structure,,compression|path_structure
(*)|(*)|(mkt_ret_eq_24h<=-0.33122462&range_24h_pct>0.07672897&spectral_entropy_ret_24>-0.023081115),3,3,regime,compression|cross_asset|path_structure,,compression|cross_asset|path_structure
(*)|(zscore_price_200<=0.6912114)|(mkt_ret_eq_24h>-0.33122462&range_24h_pct>0.07672897&spectral_entropy_ret_24>-0.023081115),4,4,location|regime,compression|cross_asset|path_structure,context,compression|context|cross_asset|path_structure
(*)|(zscore_price_200>0.6912114)|(mkt_ret_eq_24h>-0.33122462&range_24h_pct>0.07672897&spectral_entropy_ret_24>-0.023081115),4,4,location|regime,compression|cross_asset|path_structure,context,compression|context|cross_asset|path_structure
(*)|(*)|(ema20_slope_5h>-0.43207428&range_24h_pct<=0.0386381),2,2,regime,compression|trend,,compression|trend
(*)|(*)|(ema20_slope_5h>-0.43207428&range_24h_pct<=0.051489912&range_24h_pct>0.0386381),3,3,regime,compression|trend,,compression|trend
(*)|(dist_weekly_vwap<=-0.10086508)|(mkt_ret_eq_24h<=-0.60238343&range_24h_pct>0.051489912),3,3,location|regime,compression|cross_asset,context,compression|context|cross_asset
(*)|(dist_weekly_vwap>-0.10086508)|(mkt_ret_eq_24h<=-0.60238343&range_24h_pct>0.051489912),3,3,location|regime,compression|cross_asset,context,compression|context|cross_asset
(*)|(*)|(atr_percentile<=-0.17949028&mkt_ret_eq_24h>-0.60238343&range_24h_pct>0.051489912&xasset_mkt_depth_z<=0.061353903),4,4,regime,compression|cross_asset|cross_asset_orderbook,,compression|cross_asset|cross_asset_orderbook
(*)|(*)|(atr_percentile>-0.17949028&mkt_ret_eq_24h>-0.60238343&range_24h_pct>0.051489912&xasset_mkt_depth_z<=0.061353903),4,4,regime,compression|cross_asset|cross_asset_orderbook,,compression|cross_asset|cross_asset_orderbook
(*)|(*)|(mkt_ret_eq_24h>-0.60238343&range_24h_pct>0.051489912&return_autocorr_48<=0.35802677&xasset_mkt_depth_z<=0.9535718&xasset_mkt_depth_z>0.061353903),5,5,regime,compression|cross_asset|cross_asset_orderbook|momentum,,compression|cross_asset|cross_asset_orderbook|momentum
