,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
compression_score,0.0041385177,0.001342304,0.01275965,14.5,3.0413814,69.129776,207.76706,63.273743,682.22845,0.02755387,0.008705483,0.08721121,0.07946659,0.036925264,0.17101948,111.0,0.0,0.94330925,0.19708295,0.5,0.0,0.0,99.5,28.0,0.23339564,120.0
range_24h_pct,0.0022396767,0.0007343208,0.0068310075,8.0,2.1602468,29.626244,125.50667,49.195446,320.19067,0.015976265,0.005769112,0.0442427,0.043045446,0.024224704,0.07648847,168.0,0.0,0.94330925,0.0757567,0.6279762,0.0,0.6674735,166.5,20.833334,0.23203391,121.0
accel_5h,0.002719797,0.00075926166,0.009742748,11.0,3.0,40.333332,144.96672,39.71228,529.19025,0.01809952,0.0050169965,0.06529656,0.051311668,0.026428554,0.09962283,135.0,0.0,0.94330925,0.106433935,0.66071427,0.0,0.16517016,147.5,19.0,0.23197573,122.0
bars_in_high_vol_state_log_norm,0.0023058502,0.0006472442,0.008214744,8.166667,1.0671874,62.495533,128.33368,26.33985,625.2706,0.015565374,0.0032304653,0.07499875,0.04307951,0.013095986,0.14171092,131.0,0.0,0.94330925,0.07998485,0.75,0.0,0.0,156.5,14.0,0.23149167,123.0
range_expansion_ratio_G_VOL_0,0.0046413625,0.0020524552,0.010495842,11.833333,4.524624,30.947937,242.17528,118.36321,495.4991,0.03405547,0.017546583,0.066096924,0.09441075,0.04961236,0.17966065,130.0,0.0,0.94330925,0.22921218,0.30952382,0.16666667,0.0,104.0,38.666668,0.22844766,124.0
atr_percentile,0.0032316009,0.0012896522,0.008097721,13.5,2.5658007,71.03046,180.89641,44.6468,732.9419,0.022899393,0.0055557466,0.09438554,0.06864539,0.03236194,0.14560899,117.0,0.0,0.94330925,0.1391356,0.5029762,0.0,0.49753186,134.0,27.833334,0.22714522,125.0
ll_count_12,0.0019935535,0.0005014178,0.007926037,7.8333335,1.5723302,39.02559,115.08519,25.098711,527.70044,0.013940653,0.0032259058,0.060244102,0.036195725,0.010463638,0.12520793,141.0,0.0,0.94330925,0.060030684,0.76785713,0.0,0.0,169.0,13.0,0.22498116,126.0
climax_vol_24,0.0034322285,0.0011435064,0.010301816,13.833333,4.0173235,47.63398,180.93387,60.972977,536.911,0.024047833,0.008448171,0.06845248,0.067648254,0.032003466,0.14299347,129.0,0.0,0.94330925,0.15195468,0.5089286,0.0,0.27463612,130.5,27.5,0.22453904,127.0
prior_range,0.0027726525,0.0006806068,0.011295216,10.833333,2.409472,48.708225,154.50436,28.436653,839.46576,0.01997645,0.0033290756,0.119870685,0.05394216,0.016312718,0.17837347,94.0,0.0,0.94330925,0.10981114,0.65178573,0.0,0.0,132.5,19.5,0.22334257,128.0
adx_10_slope,0.0038415524,0.00095306686,0.015484249,17.0,1.5275252,189.19492,210.24164,54.152855,816.23663,0.027552657,0.0076010004,0.09987487,0.073666066,0.022519095,0.2409817,79.0,0.0,0.94330925,0.1781084,0.5,0.0,0.0,94.5,28.0,0.22295961,129.0
dist_prior_day_high,0.0024201344,0.0007020149,0.008343199,7.3333335,2.0548046,26.171722,120.821045,40.530106,360.16992,0.017703211,0.0065948847,0.047522236,0.037994254,0.01512035,0.095471546,153.0,0.0,0.94330925,0.08728702,0.6994048,0.0,0.0,169.5,16.833334,0.22285905,130.0
bars_in_high_vol_state_log_norm_G_VOL_1,0.002561777,0.00082422403,0.007962278,9.5,2.9297326,30.80486,140.21817,40.70043,483.0695,0.01848824,0.005467541,0.06251713,0.049990535,0.022984952,0.10872564,142.0,0.0,0.94330925,0.09633726,0.64880955,0.0,0.12992151,156.5,19.666666,0.22168395,131.0
funding_proxy,0.0043756366,0.0018290324,0.010467936,19.666666,4.109609,94.11546,248.2682,85.86557,717.8326,0.03076368,0.010247849,0.09235148,0.09466599,0.05256058,0.17050135,114.0,0.0,0.94330925,0.21223365,0.3184524,0.16666667,0.0,102.5,38.166668,0.22134161,132.0
