symbol,status,error,dist_vwap_norm_nan_before,dist_vwap_norm_nan_after,vwap_zone_1d_atr_nan_before,vwap_zone_1d_atr_nan_after,vwap_zone_7d_atr_nan_before,vwap_zone_7d_atr_nan_after,dist_vwap_12_atr_nan_before,dist_vwap_12_atr_nan_after,dist_vwap_24_atr_nan_before,dist_vwap_24_atr_nan_after,dist_vwap_96_atr_nan_before,dist_vwap_96_atr_nan_after,trapped_longs_12_nan_before,trapped_longs_12_nan_after,trapped_longs_24_nan_before,trapped_longs_24_nan_after,trapped_longs_96_nan_before,trapped_longs_96_nan_after,dist_stack_nan_before,dist_stack_nan_after,oi_rel_vol_2h_nan_before,oi_rel_vol_2h_nan_after,oi_rel_vol_4h_nan_before,oi_rel_vol_4h_nan_after,oi_rel_vol_8h_nan_before,oi_rel_vol_8h_nan_after,unwind_score_nan_before,unwind_score_nan_after,innovation_z_x_zr_1h_nan_before,innovation_z_x_zr_1h_nan_after,innovation_z_x_zr_3h_nan_before,innovation_z_x_zr_3h_nan_after
BAT_USD:USD,updated,,0.05065494706201307,0.05065494706201307,0.040952027624782394,0.040952027624782394,0.04040980565623127,0.04040980565623127,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.05065494706201307,0.09117890471162353,0.09117890471162353,0.5035244427955823,0.5035244427955823,0.3698239205502126,0.36979538255186784,0.26888502040466883,0.26885648240632404,0.19970891241688307,0.19968037441853828,0.9851031648640164,0.9851031648640164,0.9851031648640164,0.9851031648640164
BCH_USD:USD,updated,,0.0,0.0,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160840158671271,0.04160840158671271,0.1987956964698496,0.1987671584715048,0.19782540452612654,0.19779686652778175,0.19756856254102337,0.19754002454267858,0.1996232984218487,0.1995947604235039,0.026483262463970775,0.026483262463970775,0.02645472446562598,0.02645472446562598
BEAM_USD:USD,updated,,0.48874175965297795,0.48874175965297795,0.48075112011643506,0.48075112011643506,0.4766131103564396,0.4766131103564396,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.48874175965297795,0.5303501612396907,0.5303501612396907,0.6574869438657572,0.6574869438657572,0.5918495476727262,0.5918495476727262,0.5378841928027168,0.5378841928027168,0.47935275819754003,0.47935275819754003,0.9999714620016552,0.9999714620016552,0.9999714620016552,0.9999714620016552
BERA_USD:USD,updated,,0.6829713763876601,0.6829713763876601,0.6822008504323507,0.6822008504323507,0.6822008504323507,0.6822008504323507,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.6829713763876601,0.7245797779743729,0.7245797779743729,0.7390770811335293,0.7390770811335293,0.7080277389343912,0.7080277389343912,0.6919323078679261,0.6919323078679261,0.6847692702833823,0.6847692702833823,0.8567963243058132,0.8567963243058132,0.8567677863074684,0.8567677863074684
BICO_USD:USD,updated,,0.5112867783453668,0.5112867783453668,0.49125310350732,0.49125310350732,0.4858308838218087,0.4858308838218087,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.5112867783453668,0.551582432008219,0.551582432008219,0.7937844239605034,0.7937844239605034,0.7038897291743957,0.7038897291743957,0.6086298906994664,0.6086298906994664,0.48808538569104765,0.48808538569104765,0.9908107645329757,0.9908107645329757,0.9907822265346309,0.9907822265346309
BIGTIME_USD:USD,updated,,0.5606289774835193,0.5606289774835193,0.5453326103707086,0.5453326103707086,0.5268685254416255,0.5268685254416255,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.5606289774835193,0.6020090750834737,0.6020090750834737,0.7159613024742445,0.7159613024742445,0.6629662395479581,0.6629662395479581,0.6151650923204246,0.6151650923204246,0.5348020889814789,0.5348020889814789,0.9939214063525584,0.9939214063525584,0.9939214063525584,0.9939214063525584
BIO_USD:USD,updated,,0.6791758226078023,0.6791758226078023,0.6721554750149824,0.6721554750149824,0.6719271710282241,0.6719271710282241,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.6791758226078023,0.7178162723666562,0.7178162723666562,0.7976085157387061,0.7976085157387061,0.749750292514483,0.749750292514483,0.7110527667589396,0.7110527667589396,0.6816586284637995,0.6816586284637995,0.9894124026140807,0.9894124026140807,0.9894124026140807,0.9894124026140807
BLUR_USD:USD,updated,,0.18489769127593392,0.18489769127593392,0.1842127793156588,0.1842127793156588,0.1842127793156588,0.1842127793156588,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.18489769127593392,0.2265060928626466,0.2265060928626466,0.37627350817613653,0.37615935618275737,0.28235495562341256,0.2822408036300334,0.2245084329785109,0.2243942809851317,0.2047030621272224,0.2045889101338432,0.9484318369909535,0.9484318369909535,0.9484318369909535,0.9484318369909535
BNB_USD:USD,updated,,0.37518906423903425,0.37518906423903425,0.37521760223737904,0.37521760223737904,0.37521760223737904,0.37521760223737904,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.37518906423903425,0.416797465825747,0.416797465825747,0.3847207556861962,0.3847207556861962,0.3779857880768243,0.3779857880768243,0.3759025141976542,0.3759025141976542,0.37770040809337635,0.37770040809337635,0.40167232670300507,0.40167232670300507,0.4016437887046603,0.4016437887046603
BNT_USD:USD,updated,,0.5898804257869353,0.5898804257869353,0.5444764704203647,0.5444764704203647,0.5184498159299107,0.5184498159299107,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.5898804257869353,0.6260951456864815,0.6260951456864815,0.8690105875973859,0.8689249736023515,0.7990068776576011,0.7988927256642219,0.7135355726149368,0.7134214206215576,0.5209326217859079,0.5208184697925288,0.9421820153534431,0.9421820153534431,0.9421820153534431,0.9421820153534431
