asset,d,n_rows,warmup_bars,K_d,ic_overall_mean,ic_overall_std,ic_event_mean,ic_event_std,ic_nonevent_mean,ic_nonevent_std,ic_ir_event,n_folds_used
ACH/USDT,0.5,14107,3381,927,0.007764987577765069,0.04117314131154927,0.028500904606507213,0.052816706543762214,-0.008743627447818111,0.039163544758012356,0.5396191078910454,4
ACH/USDT,0.6,14107,3381,590,-0.0020365060513004183,0.028435515263352473,0.010814261266648431,0.02467566200357374,-0.011222704331958306,0.029035128132601763,0.43825615810534524,4
ACM/USDT,0.2,14107,3381,3382,0.09451111020167188,0.02810533829970927,0.1503846482834459,0.040815525059649325,0.06562303512703353,0.03872993906515598,3.684496141582695,4
ACM/USDT,0.3,14107,3381,2275,0.0914157048876712,0.02540947014465447,0.14167954300169378,0.0354004271398071,0.06380003368099364,0.03759736954802044,4.002198573479338,4
ACM/USDT,0.4,14107,3381,1458,0.08799071597961353,0.02368844459047564,0.13241432171259052,0.03130589430966835,0.06227049887380119,0.03483519850608469,4.229692855060956,4
ACM/USDT,0.5,14107,3381,927,0.08356570460281655,0.021639142090644048,0.12311844152103678,0.028160325244614072,0.059852474897293645,0.031998086224970926,4.372053095250782,4
ACM/USDT,0.6,14107,3381,590,0.07953839572122934,0.01912017536636819,0.11595298895500598,0.024782280391438857,0.05712136639748509,0.02859542668129933,4.678866611330724,4
ACT/USDC,0.2,7482,3381,3382,-0.0021705716998601295,0.029696164986861808,0.02315755793508418,0.06375126554476955,-0.00017499480447106738,0.03980380779319295,0.36324859395258763,4
ACT/USDC,0.3,7482,3381,2275,-0.002994306841207316,0.03392685734498873,0.02006613952400807,0.05695149387968268,-0.001968614604815828,0.04533297659412145,0.3523373629858243,4
ACT/USDC,0.4,7482,3381,1458,-0.0026085027331759405,0.036531975890907266,0.01871801491626725,0.04934676169022251,-0.0029687920469557566,0.04874059879807467,0.3793159651377903,4
ACT/USDC,0.5,7482,3381,927,-0.0005690899971724991,0.03572846282057379,0.016969493107519208,0.04348610486297064,-0.0015286716205292067,0.048266909301079484,0.3902279307554439,4
ACT/USDC,0.6,7482,3381,590,0.0022241157993572666,0.033368899988379094,0.016532821160773845,0.036387375870770074,0.0002820439939626371,0.046414812770689914,0.45435594930324963,4
