canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(loc_session_pos_24<=0.63837844&zscore_price_50>-1.0087357)|(range_expansion_ratio<=-0.19177535&rv_24h>0.31308603),4,4,location|regime,volatility|volatility_term_structure,context,context|volatility|volatility_term_structure
(*)|(loc_session_pos_24>0.63837844)|(range_expansion_ratio<=-0.19177535&rv_24h<=0.1821887),3,3,location|regime,volatility|volatility_term_structure,context,context|volatility|volatility_term_structure
(*)|(*)|(bollinger_band_width<=-0.0034756672&choppiness_index_20<=0.067428827&range_expansion_ratio>-0.19177535&up_down_semivol_ratio_tanh<=-0.064160585),4,4,regime,compression|path_structure|volatility_term_structure,,compression|path_structure|volatility_term_structure
(*)|(*)|(bollinger_band_width<=-0.0034756672&choppiness_index_20>0.067428827&range_expansion_ratio>-0.19177535&up_down_semivol_ratio_tanh<=-0.064160585),4,4,regime,compression|path_structure|volatility_term_structure,,compression|path_structure|volatility_term_structure
(*)|(*)|(bollinger_band_width>-0.0034756672&range_expansion_ratio>-0.19177535&up_down_semivol_ratio_tanh<=-0.064160585),3,3,regime,compression|path_structure|volatility_term_structure,,compression|path_structure|volatility_term_structure
(*)|(distance_to_ema>-0.2850512&loc_vwap_dev_z_48<=1.0004499)|(range_expansion_ratio>-0.19177535&up_down_semivol_ratio_tanh>-0.064160585),4,4,location|regime,path_structure|volatility_term_structure,context|liquidity,context|liquidity|path_structure|volatility_term_structure
(*)|(loc_vwap_dev_z_48>1.0004499)|(range_expansion_ratio>-0.19177535&up_down_semivol_ratio_tanh>-0.064160585),3,3,location|regime,path_structure|volatility_term_structure,liquidity,liquidity|path_structure|volatility_term_structure
(*)|(distance_to_ema<=0.38873044&zscore_price_200<=1.4669423)|(prior_range<=0.21571954&true_range_percentile>-0.61758256&volume_percentile<=-0.32841548),5,5,location|regime,context|liquidity|volatility,context,context|liquidity|volatility
(*)|(distance_to_ema<=0.38873044&loc_swing_range_pos_24<=0.30048111&zscore_price_200<=1.4669423)|(prior_range<=0.21571954&volume_percentile>-0.32841548),5,5,location|regime,context|liquidity,context,context|liquidity
(*)|(distance_to_ema<=0.38873044&loc_swing_range_pos_24>0.30048111&zscore_price_200<=1.4669423)|(prior_range<=0.21571954&volume_percentile>-0.32841548),5,5,location|regime,context|liquidity,context,context|liquidity
(*)|(distance_to_ema<=0.38873044&zscore_price_200<=1.4669423)|(bollinger_band_width<=-0.0034756672&prior_range>0.21571954),4,4,location|regime,compression|context,context,compression|context
(*)|(distance_to_ema>0.38873044&zscore_price_200<=1.4669423)|(direction_entropy_20<=0.24626982&volatility_ratio_short_long<=0.21169674),4,4,location|regime,path_structure|volatility,context,context|path_structure|volatility
(*)|(distance_to_ema>0.38873044&zscore_price_200<=1.4669423)|(direction_entropy_20>0.24626982&volatility_ratio_short_long<=0.21169674),4,4,location|regime,path_structure|volatility,context,context|path_structure|volatility
(*)|(distance_to_ema>0.38873044&zscore_price_200<=1.4669423)|(volatility_ratio_short_long>0.21169674),3,3,location|regime,volatility,context,context|volatility
(*)|(zscore_price_200>1.4669423)|(volatility_ratio_short_long<=-0.13299298),2,2,location|regime,volatility,context,context|volatility
(*)|(zscore_price_200>1.4669423)|(volatility_ratio_short_long>-0.13299298),2,2,location|regime,volatility,context,context|volatility
(*)|(dist_local_swing>0.0029050037&dist_rolling_7d_high<=0.21196443&loc_prev_week_range_pos_48<=0.50210059&loc_swing_range_pos_24<=0.41986984)|(*),4,4,location,,context,context
(*)|(dist_rolling_7d_high<=0.21196443&loc_prev_week_range_pos_48>0.50210059&loc_swing_range_pos_24<=0.41986984&zscore_price_50>0.65909564)|(*),4,4,location,,context,context
(*)|(dist_rolling_7d_high>0.21196443&loc_swing_range_pos_24<=0.41986984)|(*),2,2,location,,context,context
(*)|(loc_prev_week_range_pos_24<=0.24927792&loc_swing_range_pos_24>0.41986984)|(*),2,2,location,,context,context
(*)|(bars_in_high_vol_state_log_norm<=1.4519498&loc_prev_week_range_pos_24>0.24927792&loc_swing_range_pos_24>0.41986984)|(direction_entropy_20<=-0.57645231),4,4,location|regime,path_structure,context,context|path_structure
(*)|(bars_in_high_vol_state_log_norm<=1.4519498&dist_ma100_atr<=0.0051759514&loc_prev_week_range_pos_24>0.24927792&loc_swing_range_pos_24>0.41986984)|(direction_entropy_20>-0.57645231),5,5,location|regime,path_structure,context,context|path_structure
(*)|(bars_in_high_vol_state_log_norm<=1.4519498&dist_ma100_atr>0.0051759514&loc_prev_week_range_pos_24>0.24927792&loc_pullback_depth_48<=0.13778269&loc_swing_range_pos_24>0.41986984)|(direction_entropy_20>-0.57645231),6,6,location|regime,path_structure,context|path_structure,context|path_structure
(*)|(bars_in_high_vol_state_log_norm<=1.4519498&dist_ma100_atr>0.0051759514&loc_prev_week_range_pos_24>0.24927792&loc_pullback_depth_48>0.13778269&loc_swing_range_pos_24>0.41986984)|(direction_entropy_20>-0.57645231),6,6,location|regime,path_structure,context|path_structure,context|path_structure
(*)|(bars_in_high_vol_state_log_norm>1.4519498&loc_prev_week_range_pos_24>0.24927792&loc_swing_range_pos_24>0.41986984)|(*),3,3,location,,context,context
(*)|(dist_vwap_atr<=0.0048591634&zscore_price_200<=-1.3468052)|(volume_trend_48>0.88034105),3,3,location|regime,liquidity,context,context|liquidity
(*)|(dist_vwap_atr<=0.0048591634&zscore_price_200>-1.3468052)|(range_expansion_ratio<=-0.68753624&volume_autocorr_48<=0.97406131),4,4,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_vwap_atr<=0.0048591634&zscore_price_200>-1.3468052)|(range_expansion_ratio<=0.57431233&range_expansion_ratio>-0.68753624&volume_autocorr_48<=0.97406131),5,5,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_vwap_atr<=0.0048591634&zscore_price_200>-1.3468052)|(range_expansion_ratio>0.57431233&volume_autocorr_48<=0.97406131),4,4,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_vwap_atr<=0.0048591634&zscore_price_200>-1.3468052)|(volume_autocorr_48>0.97406131),3,3,location|regime,liquidity,context,context|liquidity
(*)|(dist_vwap_atr>0.0048591634)|(up_down_return_mass_ratio_tanh<=0.12561856),2,2,location|regime,path_structure,context,context|path_structure
(*)|(dist_vwap_atr>0.0048591634&dist_weekly_vwap<=0.027697282)|(up_down_return_mass_ratio_tanh>0.12561856&volatility_ratio_short_long<=0.77700257&volume_entropy_24<=-0.19184542),5,5,location|regime,liquidity|path_structure|volatility,context,context|liquidity|path_structure|volatility
(*)|(dist_vwap_atr>0.0048591634&dist_weekly_vwap<=0.027697282)|(up_down_return_mass_ratio_tanh>0.12561856&volatility_ratio_short_long<=0.77700257&volume_entropy_24>-0.19184542),5,5,location|regime,liquidity|path_structure|volatility,context,context|liquidity|path_structure|volatility
(*)|(dist_vwap_atr>0.0048591634&dist_weekly_vwap>0.027697282)|(up_down_return_mass_ratio_tanh>0.12561856&volatility_ratio_short_long<=0.77700257),4,4,location|regime,path_structure|volatility,context,context|path_structure|volatility
(*)|(dist_vwap_atr>0.0048591634)|(up_down_return_mass_ratio_tanh>0.12561856&volatility_ratio_short_long>0.77700257),3,3,location|regime,path_structure|volatility,context,context|path_structure|volatility
(*)|(dist_vwap_atr<=0.0019493842&loc_swing_range_pos_48>0.39285722&zscore_price_200<=-0.10620012)|(range_expansion_ratio<=-0.020181313),4,4,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_vwap_atr<=0.0019493842&zscore_price_200>-0.10620012)|(range_expansion_ratio<=-0.020181313&volume_percentile<=-0.1036075),4,4,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_vwap_atr<=0.0019493842&zscore_price_200>-0.10620012)|(range_expansion_ratio<=-0.020181313&volume_percentile>-0.1036075),4,4,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
(*)|(dist_vwap_atr>0.0019493842&zscore_price_200<=0.11641542)|(prior_volatility<=0.096042447&range_expansion_ratio<=-0.020181313),4,4,location|regime,context|volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_vwap_atr>0.0019493842&zscore_price_200>0.11641542)|(prior_volatility<=0.096042447&range_expansion_ratio<=-0.020181313),4,4,location|regime,context|volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_vwap_atr>0.0019493842)|(prior_volatility>0.096042447&range_expansion_ratio<=-0.020181313),3,3,location|regime,context|volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_weekly_vwap<=-0.041589353)|(range_expansion_ratio>-0.020181313),2,2,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_weekly_vwap>-0.041589353&loc_pivot_ladder_pos_24<=-0.097722307)|(range_expansion_ratio>-0.020181313),3,3,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_weekly_vwap>-0.041589353&loc_pivot_ladder_pos_24>-0.097722307)|(range_expansion_ratio>-0.020181313&variance_ratio_10_48>-0.15077104),4,4,location|regime,volatility|volatility_term_structure,context,context|volatility|volatility_term_structure
(*)|(loc_pivot_ladder_pos_24>-0.1950355&zscore_price_200>-1.9268599)|(compression_ratio<=1.1986648&up_down_return_mass_ratio_tanh<=-0.2778219&volume_trend_48<=-0.75315154),5,5,location|regime,liquidity|path_structure|volatility_term_structure,context,context|liquidity|path_structure|volatility_term_structure
(*)|(zscore_price_200>-1.9268599)|(choppiness_index_20<=0.38321772&compression_ratio<=1.1986648&up_down_return_mass_ratio_tanh<=-0.2778219&volume_trend_48>-0.75315154),5,5,location|regime,liquidity|path_structure|volatility_term_structure,context,context|liquidity|path_structure|volatility_term_structure
(*)|(zscore_price_200>-1.9268599)|(choppiness_index_20>0.38321772&compression_ratio<=1.1986648&up_down_return_mass_ratio_tanh<=-0.2778219&volume_trend_48>-0.75315154),5,5,location|regime,liquidity|path_structure|volatility_term_structure,context,context|liquidity|path_structure|volatility_term_structure
