feature,replay_pre_transform,replay_post_transform,snapshot_post_transform,post_minus_pre,snapshot_minus_replay_post,pre_missing,post_missing,snapshot_missing,abs_snapshot_post_delta
adx_di_minus_14,9.538529396057129,2.053748846054077,2.053748846054077,-7.484780550003052,0.0,False,False,False,0.0
adx_di_minus_7,3.5559422969818115,2.053748846054077,2.053748846054077,-1.5021934509277344,0.0,False,False,False,0.0
adx_di_plus_10,13.365827560424805,2.053748846054077,2.053748846054077,-11.312078714370728,0.0,False,False,False,0.0
adx_di_plus_14,10.067756652832031,2.053748846054077,2.053748846054077,-8.014007806777954,0.0,False,False,False,0.0
adx_di_plus_7,19.021282196044922,2.053748846054077,2.053748846054077,-16.967533349990845,0.0,False,False,False,0.0
adx_zscore,0.8823094964027405,1.1722276210784912,1.1722276210784912,0.28991812467575073,0.0,False,False,False,0.0
align,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
ambig,0.0683184564113617,0.0683184564113617,0.0683184564113617,0.0,0.0,False,False,False,0.0
amihud_illiq,1.3004156351089478,1.3004156351089478,1.3004156351089478,0.0,0.0,False,False,False,0.0
amihud_z,2.320214033126831,0.0,0.0,-2.320214033126831,0.0,False,False,False,0.0
asset_minus_universe_median_ret_4h,0.15896499156951904,1.418052315711975,1.418052315711975,1.259087324142456,0.0,False,False,False,0.0
asset_ret_vs_btc_4h,-0.8766170144081116,0.29976218938827515,0.29976218938827515,1.1763792037963867,0.0,False,False,False,0.0
asset_ret_vs_universe_4h,0.15896499156951904,1.418052315711975,1.418052315711975,1.259087324142456,0.0,False,False,False,0.0
asym_ft,39.03192901611328,2.053748846054077,2.053748846054077,-36.978180170059204,0.0,False,False,False,0.0
asym_ratio,0.8704049587249756,1.4003621339797974,1.4003621339797974,0.5299571752548218,0.0,False,False,False,0.0
atr_change_rate_ts_continuous,-0.0009520649909973145,-0.0009520649909973145,-0.0009520649909973145,0.0,0.0,False,False,False,0.0
atr_expansion,-0.051179271191358566,-0.16539552807807922,-0.16539552807807922,-0.11421625688672066,0.0,False,False,False,0.0
avg_pair_corr_24h,0.6066703200340271,0.6066703200340271,0.6066703200340271,0.0,0.0,False,False,False,0.0
barrier_pct,,0.005553510505706072,0.005553510505706072,,0.0,True,False,False,0.0
bars_in_high_vol_state_log_norm,0.0,-0.6993675231933594,-0.6993675231933594,-0.6993675231933594,0.0,False,False,False,0.0
bars_outside_ema20_atr_band_log_norm,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
bars_since_ema20_ema50_cross_log_norm,1.0,0.0,0.0,-1.0,0.0,False,False,False,0.0
bb_pos_12,2.04300856590271,2.04300856590271,2.04300856590271,0.0,0.0,False,False,False,0.0
